domain,email,url
www.cdc.gov,508helpdesk@cdc.gov,https://www.cdc.gov/other/accessibility.html
www.cdc.gov,visitor@email.com,https://www.cdc.gov/other/accessibility.html
www.cdc.gov,privacy@cdc.gov,https://www.cdc.gov/other/privacy.html
www.hhs.gov,support@responsibledisclosure.com,https://www.hhs.gov/vulnerability-disclosure-policy/index.html
www.hhs.gov,SecureOne.HHS@HHS.gov,https://www.hhs.gov/vulnerability-disclosure-policy/index.html
www.hhs.gov,HHS.Cybersecurity@hhs.gov,https://www.hhs.gov/vulnerability-disclosure-policy/index.html
www.cdc.gov,media@cdc.gov,https://www.cdc.gov/cdc-info/index.html
www.cdc.gov,hrcs@cdc.gov,https://www.cdc.gov/cdc-info/index.html
tools.cdc.gov,IMTech@cdc.gov,https://tools.cdc.gov/medialibrary/index.aspx
www.cdc.gov,viralhepatitisoutbreak@cdc.gov,https://www.cdc.gov/hepatitis/outbreaks/2017March-HepatitisA.htm
www.cdc.gov,fungaloutbreak@cdc.gov,https://www.cdc.gov/hai/outbreaks/meningitis-epidural-anesthesia.html
www.cdc.gov,FungalOutbreak@cdc.gov,https://www.cdc.gov/hai/outbreaks/meningitis-epidural-anesthesia.html
www.cdc.gov,medicaltourism@cdc.gov,https://www.cdc.gov/hai/outbreaks/meningitis-epidural-anesthesia.html
www.cdc.gov,ipath@health.ucsd.edu,https://www.cdc.gov/hai/outbreaks/crpa-artificial-tears.html
www.cdc.gov,jon.koff@yale.edu,https://www.cdc.gov/hai/outbreaks/crpa-artificial-tears.html
www.cdc.gov,haioutbreak@cdc.gov,https://www.cdc.gov/hai/outbreaks/crpa-artificial-tears.html
