domain,email,url
www.hhs.gov,support@responsibledisclosure.com,https://www.hhs.gov/vulnerability-disclosure-policy/index.html
www.hhs.gov,SecureOne.HHS@HHS.gov,https://www.hhs.gov/vulnerability-disclosure-policy/index.html
www.hhs.gov,HHS.Cybersecurity@hhs.gov,https://www.hhs.gov/vulnerability-disclosure-policy/index.html
www.hhs.gov,PrivacyProgramMailbox@hhs.gov,https://www.hhs.gov/web/policies-and-standards/hhs-web-policies/privacy/index.html
www.hhs.gov,OCIO.Privacy@acf.hhs.gov,https://www.hhs.gov/web/policies-and-standards/hhs-web-policies/privacy/index.html
www.hhs.gov,Jacques.Newgen@acl.hhs.gov,https://www.hhs.gov/web/policies-and-standards/hhs-web-policies/privacy/index.html
www.hhs.gov,AHRQSecureAHRQ@ahrq.hhs.gov,https://www.hhs.gov/web/policies-and-standards/hhs-web-policies/privacy/index.html
www.hhs.gov,BEWalker@cdc.gov,https://www.hhs.gov/web/policies-and-standards/hhs-web-policies/privacy/index.html
www.hhs.gov,privacy@cms.hhs.gov,https://www.hhs.gov/web/policies-and-standards/hhs-web-policies/privacy/index.html
www.hhs.gov,FDAPrivacyOffice@fda.hhs.gov,https://www.hhs.gov/web/policies-and-standards/hhs-web-policies/privacy/index.html
www.hhs.gov,hrsaprivacy@hrsa.gov,https://www.hhs.gov/web/policies-and-standards/hhs-web-policies/privacy/index.html
www.hhs.gov,hhs.acfo@hhs.gov,https://www.hhs.gov/foia/index.html
www.hhs.gov,HHS.ACFO@hhs.gov,https://www.hhs.gov/foia/index.html
www.hhs.gov,508helpdesk@hhs.gov,https://www.hhs.gov/web/section-508/index.html
www.hhs.gov,Heather.McClane@ihs.gov,https://www.hhs.gov/web/policies-and-standards/hhs-web-policies/privacy/index.html
www.hhs.gov,privacy@mail.nih.gov,https://www.hhs.gov/web/policies-and-standards/hhs-web-policies/privacy/index.html
www.hhs.gov,SOP@oig.hhs.gov,https://www.hhs.gov/web/policies-and-standards/hhs-web-policies/privacy/index.html
www.hhs.gov,OSPrivacyMailbox@hhs.gov,https://www.hhs.gov/web/policies-and-standards/hhs-web-policies/privacy/index.html
www.hhs.gov,Info.Privacy@samhsa.hhs.gov,https://www.hhs.gov/web/policies-and-standards/hhs-web-policies/privacy/index.html
